db,version,url_num,url
14sea,2017-01-29,1,http://www.14sea.org/img/14SEA_Full_Dataset_2017-01-29.xlsx
adrac,today,1,https://raw.githubusercontent.com/dirkseidensticker/aDRAC/master/data/aDRAC.csv
austarch,2013-11-28,1,https://archaeologydataservice.ac.uk/catalogue/adsdata/arch-1661-1/dissemination/csv/Austarch_1-3_and_IDASQ_28Nov13-1.csv
calpal,2016-04-27,1,https://raw.githubusercontent.com/nevrome/CalPal-Database/master/CalPal_14C-Database.csv
context,2006-09-26,1,http://context-database.uni-koeln.de/download/Boehner_and_Schyle_Near_Eastern_radiocarbon_CONTEXT_database_2002-2006_doi10.1594GFZ.CONTEXT.Ed1csv.zip
kiteeastafrica,2016-04-28,1,https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/NJLNRJ/L8KRSL
eubar,2017-10-02,1,https://telearchaeology.org/EUBAR/EUBAR%20def.xlsx
euroevol,2015-07-09,1,https://discovery.ucl.ac.uk/id/eprint/1469811/7/EUROEVOL09-07-201516-34_C14Samples.csv
euroevol,,2,https://discovery.ucl.ac.uk/id/eprint/1469811/9/EUROEVOL09-07-201516-34_CommonSites.csv
euroevol,,3,https://discovery.ucl.ac.uk/id/eprint/1469811/8/EUROEVOL09-07-201516-34_CommonPhases.csv
palmisano,2017-09-23,1,https://discovery.ucl.ac.uk/1575442/1/Palmisanoetal.zip
radon,today,1,https://radon.ufg.uni-kiel.de/radondaily.txt
radonb,today,1,https://radon-b.ufg.uni-kiel.de/radondaily.txt
irdd,2018-08-13,1,https://zenodo.org/record/3367518/files/Chapple%2C%20RM%202019%20Catalogue%20of%20radiocarbon%20determinations%20%26%20dendrochronology%20dates%20%28August%202019%20Release%29.xlsx
pacea,2020-01-22,1,https://www.paleoanthro.org/media/journal/content/PA20110001_S01.zip
14cpalaeolithic,2020-01-23,1,https://ees.kuleuven.be/geography/projects/14c-palaeolithic/radiocarbon-palaeolithic-europe-database-v26-extract.xlsx
